avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,1,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,156,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,156,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,157,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,2944,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,3,0,3072,156,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,154,4096,99,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,1,0,3072,154,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,155,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,2944,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,156,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,153,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,154,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,154,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,153,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,157,4096,98,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,2,0,3072,156,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,156,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,154,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,5,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,156,4096,98,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,6,0,2944,154,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,14,0,2944,155,4096,98,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,1,0,2944,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,14,0,2944,153,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,11,0,2944,158,4096,99,0.19,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,153,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,11,0,3072,156,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,13,0,3072,158,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,2944,154,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,99,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,0,0,3072,157,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,157,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,156,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,157,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,2816,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,155,4096,98,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,1,0,2944,154,4096,99,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,0,0,2944,154,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,2944,153,4096,100,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,156,4096,99,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,2,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,155,4096,98,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,156,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,2,0,3072,157,4096,100,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,0,0,3072,156,4096,99,0.19,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,3,0,2944,155,4096,99,0.18,0,0,0,0,0.0,0.17,1
0,0,0,0,0,0,0,0,0,0,3072,156,4096,99,0.18,0,0,0,0,0.0,0.18,1
0,0,0,0,0,0,0,0,1,0,3072,154,4096,99,0.18,0,0,0,0,0.0,0.18,1
