avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,6,0,2944,128,4096,100,4.21,0,0,0,0,0.05,4.16,1
0,0,0,0,0,0,0,0,7,0,2944,128,4096,99,4.2,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,10,0,2944,128,4096,99,4.22,0,0,0,0,0.06,4.16,1
0,0,0,0,0,0,0,0,7,0,3072,128,4096,100,4.18,0,0,0,0,0.04,4.14,1
0,0,0,0,0,0,0,0,10,0,2944,127,4096,100,4.24,0,0,0,0,0.04,4.19,1
0,0,0,0,0,0,0,0,17,0,2944,127,4096,100,4.27,0,0,0,0,0.06,4.2,1
0,0,0,0,0,0,0,0,15,0,2944,127,4096,100,4.23,0,0,0,0,0.04,4.19,1
0,0,0,0,0,0,0,0,13,0,2944,128,4096,100,4.22,0,0,0,0,0.06,4.16,1
0,0,0,0,0,0,0,0,13,0,3072,127,4096,100,4.23,0,0,0,0,0.05,4.17,1
0,0,0,0,0,0,0,0,14,0,2944,128,4096,100,4.21,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,11,0,2944,128,4096,99,4.2,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,10,0,2944,128,4096,99,4.19,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,14,0,2944,128,4096,99,4.23,0,0,0,0,0.06,4.16,1
0,0,0,0,0,0,0,0,10,0,2944,128,4096,99,4.2,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,10,0,2944,128,4096,99,4.22,0,0,0,0,0.05,4.17,1
0,0,0,0,0,0,0,0,23,0,2944,128,4096,99,4.21,0,0,0,0,0.05,4.16,1
0,0,0,0,0,0,0,0,8,0,2944,129,4096,99,4.26,0,0,0,0,0.05,4.2,1
0,0,0,0,0,0,0,0,16,0,3072,127,4096,99,4.21,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,14,0,2944,127,4096,99,4.23,0,0,0,0,0.06,4.17,1
0,0,0,0,0,0,0,0,14,0,2944,129,4096,99,4.19,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,14,0,3072,127,4096,99,4.24,0,0,0,0,0.05,4.19,1
0,0,0,0,0,0,0,0,13,0,2944,128,4096,99,4.2,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,16,0,3072,130,4096,99,4.21,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,8,0,2944,129,4096,99,4.21,0,0,0,0,0.04,4.16,1
0,0,0,0,0,0,0,0,18,0,3072,128,4096,99,4.22,0,0,0,0,0.04,4.17,1
0,0,0,0,0,0,0,0,15,0,3072,128,4096,99,4.22,0,0,0,0,0.04,4.17,1
0,0,0,0,0,0,0,0,19,0,2944,128,4096,99,4.2,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,17,0,2944,126,4096,100,4.23,0,0,0,0,0.05,4.18,1
0,0,0,0,0,0,0,0,14,0,2944,127,4096,99,4.22,0,0,0,0,0.07,4.14,1
0,0,0,0,0,0,0,0,17,0,2944,129,4096,99,4.23,0,0,0,0,0.05,4.18,1
0,0,0,0,0,0,0,0,36,0,2944,127,4096,99,4.19,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,17,0,2944,129,4096,99,4.2,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,14,0,2944,127,4096,99,4.2,0,0,0,0,0.04,4.15,1
0,0,0,0,0,0,0,0,34,0,3072,129,4096,99,4.2,0,0,0,0,0.04,4.15,1
0,0,0,0,0,0,0,0,26,0,2944,128,4096,99,4.21,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,16,0,2944,131,4096,99,4.23,0,0,0,0,0.04,4.18,1
0,0,0,0,0,0,0,0,13,0,2944,129,4096,100,4.19,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,19,0,2944,127,4096,99,4.22,0,0,0,0,0.05,4.17,1
0,0,0,0,0,0,0,0,31,0,2944,125,4096,99,4.21,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,18,0,2944,125,4096,100,4.18,0,0,0,0,0.05,4.13,1
0,0,0,0,0,0,0,0,21,0,2944,126,4096,99,4.18,0,0,0,0,0.06,4.12,1
0,0,0,0,0,0,0,0,37,0,2944,126,4096,99,4.2,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,18,0,2944,129,4096,99,4.2,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,15,0,3072,128,4096,99,4.28,0,0,0,0,0.05,4.23,1
0,0,0,0,0,0,0,0,15,0,3072,129,4096,99,4.25,0,0,0,0,0.05,4.2,1
0,0,0,0,0,0,0,0,20,0,2944,127,4096,99,4.24,0,0,0,0,0.06,4.17,1
0,0,0,0,0,0,0,0,19,0,3072,130,4096,99,4.28,0,0,0,0,0.05,4.23,1
0,0,0,0,0,0,0,0,21,0,2944,128,4096,100,4.23,0,0,0,0,0.05,4.17,1
0,0,0,0,0,0,0,0,11,0,3072,127,4096,100,4.24,0,0,0,0,0.06,4.18,1
0,0,0,0,0,0,0,0,14,0,2944,128,4096,100,4.22,0,0,0,0,0.05,4.16,1
0,0,0,0,0,0,0,0,14,0,2944,129,4096,100,4.18,0,0,0,0,0.06,4.12,1
0,0,0,0,0,0,0,0,21,0,3072,129,4096,99,4.24,0,0,0,0,0.05,4.18,1
0,0,0,0,0,0,0,0,20,0,2944,129,4096,100,4.2,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,15,0,2944,127,4096,99,4.21,0,0,0,0,0.07,4.14,1
0,0,0,0,0,0,0,0,7,0,2944,128,4096,99,4.21,0,0,0,0,0.06,4.15,1
0,0,0,0,0,0,0,0,17,0,3072,127,4096,99,4.26,0,0,0,0,0.06,4.19,1
0,0,0,0,0,0,0,0,12,0,3072,128,4096,99,4.19,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,15,0,2944,126,4096,99,4.27,0,0,0,0,0.06,4.2,1
0,0,0,0,0,0,0,0,9,0,3072,127,4096,99,4.19,0,0,0,0,0.06,4.12,1
0,0,0,0,0,0,0,0,10,0,3072,129,4096,99,4.23,0,0,0,0,0.05,4.17,1
0,0,0,0,0,0,0,0,19,0,2944,128,4096,99,4.26,0,0,0,0,0.05,4.2,1
0,0,0,0,0,0,0,0,14,0,3072,127,4096,99,4.3,0,0,0,0,0.07,4.22,1
0,0,0,0,0,0,0,0,13,0,2944,128,4096,99,4.21,0,0,0,0,0.04,4.17,1
0,0,0,0,0,0,0,0,18,0,3072,129,4096,99,4.19,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,22,0,3072,126,4096,99,4.19,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,15,0,2944,126,4096,99,4.23,0,0,0,0,0.07,4.16,1
0,0,0,0,0,0,0,0,19,0,3072,128,4096,100,4.2,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,18,0,3072,131,4096,99,4.2,0,0,0,0,0.06,4.14,1
0,0,0,0,0,0,0,0,16,0,2944,128,4096,100,4.19,0,0,0,0,0.04,4.14,1
0,0,0,0,0,0,0,0,11,0,3072,127,4096,100,4.2,0,0,0,0,0.05,4.15,1
0,0,0,0,0,0,0,0,11,0,3072,127,4096,100,4.19,0,0,0,0,0.06,4.13,1
0,0,0,0,0,0,0,0,11,0,2944,128,4096,100,4.19,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,10,0,2944,127,4096,99,4.2,0,0,0,0,0.05,4.14,1
0,0,0,0,0,0,0,0,21,0,2944,128,4096,100,4.21,0,0,0,0,0.05,4.16,1
