avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,7,0,57600,13806,4096,100,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,2,0,57600,13807,4096,98,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13808,4096,100,0.2,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,2,0,57600,13808,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13808,4096,99,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13810,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,2,0,57600,13807,4096,99,0.2,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,2,0,57472,13807,4096,100,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,2,0,57728,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,12,0,57600,13809,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57600,13809,4096,98,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,2,0,57600,13809,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57728,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,13,0,57472,13808,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13807,4096,100,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13808,4096,98,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13808,4096,99,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13809,4096,100,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13806,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13808,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57472,13808,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,16,0,57728,13810,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,2,0,57472,13808,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,0,0,57600,13807,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,0,0,57600,13809,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57728,13810,4096,98,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,2,0,57600,13806,4096,100,0.19,0,0,0,0,0.04,0.15,1
0,0,0,0,0,0,0,0,0,0,57600,13807,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,8,0,57344,13808,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57728,13809,4096,99,0.2,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57472,13807,4096,99,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,2,0,57728,13811,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13808,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13808,4096,98,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,8,0,57600,13809,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13810,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13808,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,0,0,57728,13809,4096,99,0.2,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13807,4096,99,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57728,13808,4096,100,0.2,0,0,0,0,0.03,0.17,1
0,0,0,0,0,0,0,0,2,0,57600,13807,4096,99,0.2,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,12,0,57600,13808,4096,99,0.2,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,13,0,57600,13807,4096,99,0.2,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,13,0,57472,13808,4096,99,0.2,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,14,0,57600,13806,4096,100,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57600,13809,4096,99,0.2,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13807,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57472,13808,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13810,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13810,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13805,4096,100,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57728,13808,4096,100,0.2,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57472,13808,4096,100,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57728,13809,4096,98,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,1,0,57600,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,2,0,57600,13807,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57600,13808,4096,99,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,1,0,57600,13808,4096,100,0.19,0,0,0,0,0.03,0.16,1
0,0,0,0,0,0,0,0,0,0,57728,13810,4096,99,0.19,0,0,0,0,0.02,0.16,1
0,0,0,0,0,0,0,0,1,0,57728,13807,4096,100,0.19,0,0,0,0,0.02,0.17,1
0,0,0,0,0,0,0,0,0,0,57600,13807,4096,100,0.19,0,0,0,0,0.02,0.17,1
