avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,22,0,1677952,418918,4096,99,5.93,0,0,0,0,0.94,4.98,1
0,0,0,0,0,0,0,0,23,0,1677952,418921,4096,99,5.98,0,0,0,0,0.98,4.99,1
0,0,0,0,0,0,0,0,19,0,1678080,418919,4096,100,5.99,0,0,0,0,0.91,5.08,1
0,0,0,0,0,0,0,0,23,0,1677696,418920,4096,99,5.95,0,0,0,0,1.01,4.94,1
0,0,0,0,0,0,0,0,45,0,1677824,418918,4096,99,5.94,0,0,0,0,0.99,4.94,1
0,0,0,0,0,0,0,0,29,0,1678080,418919,4096,99,5.94,0,0,0,0,0.99,4.95,1
0,0,0,0,0,0,0,0,22,0,1678080,418919,4096,99,5.98,0,0,0,0,0.91,5.06,1
0,0,0,0,0,0,0,0,23,0,1677952,418921,4096,100,6.03,0,0,0,0,0.99,5.03,1
0,0,0,0,0,0,0,0,24,0,1678208,418922,4096,99,6.03,0,0,0,0,0.97,5.06,1
0,0,0,0,0,0,0,0,23,0,1678208,418921,4096,100,6.02,0,0,0,0,0.94,5.08,1
0,0,0,0,0,0,0,0,53,0,1678080,418918,4096,99,5.94,0,0,0,0,0.96,4.98,1
0,0,0,0,0,0,0,0,34,0,1678080,418921,4096,99,5.97,0,0,0,0,0.98,4.99,1
0,0,0,0,0,0,0,0,22,0,1677952,418918,4096,99,6.04,0,0,0,0,0.96,5.07,1
0,0,0,0,0,0,0,0,50,0,1677952,418920,4096,99,5.95,0,0,0,0,0.97,4.98,1
0,0,0,0,0,0,0,0,30,0,1678208,418921,4096,99,6.02,0,0,0,0,0.93,5.08,1
0,0,0,0,0,0,0,0,24,0,1678080,418921,4096,99,6.01,0,0,0,0,1.01,5.0,1
0,0,0,0,0,0,0,0,21,0,1678080,418921,4096,99,6.06,0,0,0,0,0.98,5.07,1
0,0,0,0,0,0,0,0,24,0,1678208,418919,4096,99,5.97,0,0,0,0,0.92,5.04,1
0,0,0,0,0,0,0,0,21,0,1677824,418921,4096,99,5.99,0,0,0,0,1.01,4.97,1
0,0,0,0,0,0,0,0,19,0,1677824,418920,4096,99,5.97,0,0,0,0,0.97,5.0,1
