avg_rss_mem,avg_shared_text_size,avg_stack_size,avg_total_size,avg_unshared_data_size,exit_status,file_system_inputs,file_system_outputs,involuntary_context_switches,major_page_faults,max_rss_mem,minor_page_faults,page_size,percent_cpu_job_got,real_time,signals_delivered,socket_messages_received,socket_messages_sent,swaps,system_time,user_time,voluntary_context_switches
0,0,0,0,0,0,0,0,2,0,3328,154,4096,372,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,4,0,3072,152,4096,373,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,3,0,3328,156,4096,370,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,6,0,3328,153,4096,382,0.03,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,3,0,3328,155,4096,385,0.04,0,0,0,0,0.0,0.15,12
0,0,0,0,0,0,0,0,1,0,3328,153,4096,364,0.04,0,0,0,0,0.0,0.15,13
0,0,0,0,0,0,0,0,5,0,3200,152,4096,377,0.04,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,4,0,3200,155,4096,384,0.03,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,0,0,3328,156,4096,370,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,0,0,3328,154,4096,370,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,2,0,3200,155,4096,368,0.04,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,3,0,3200,154,4096,373,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,5,0,3328,155,4096,370,0.04,0,0,0,0,0.0,0.14,16
0,0,0,0,0,0,0,0,1,0,3200,153,4096,370,0.04,0,0,0,0,0.0,0.15,17
0,0,0,0,0,0,0,0,1,0,3200,155,4096,375,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,2,0,3328,154,4096,384,0.03,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,2,0,3200,153,4096,373,0.04,0,0,0,0,0.0,0.15,16
0,0,0,0,0,0,0,0,5,0,3328,153,4096,372,0.04,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,4,0,3200,156,4096,380,0.04,0,0,0,0,0.0,0.15,12
0,0,0,0,0,0,0,0,3,0,3200,153,4096,361,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,4,0,3200,153,4096,387,0.03,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,1,0,3328,155,4096,384,0.03,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,2,0,3200,152,4096,380,0.04,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,4,0,3200,154,4096,365,0.04,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,1,0,3200,154,4096,368,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,2,0,3072,156,4096,377,0.04,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,4,0,3200,154,4096,378,0.04,0,0,0,0,0.0,0.14,15
0,0,0,0,0,0,0,0,3,0,3328,154,4096,387,0.03,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,1,0,3200,156,4096,377,0.04,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,4,0,3200,155,4096,380,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,6,0,3328,155,4096,375,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,1,0,3200,155,4096,368,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,4,0,3328,155,4096,377,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,6,0,3328,155,4096,380,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,2,0,3200,152,4096,380,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,2,0,3200,152,4096,387,0.03,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,1,0,3328,155,4096,375,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,4,0,3200,153,4096,366,0.04,0,0,0,0,0.0,0.15,17
0,0,0,0,0,0,0,0,4,0,3200,154,4096,377,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,5,0,3200,154,4096,366,0.04,0,0,0,0,0.0,0.15,10
0,0,0,0,0,0,0,0,9,0,3200,155,4096,370,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,7,0,3200,152,4096,375,0.04,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,0,0,3328,154,4096,377,0.04,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,1,0,3200,156,4096,368,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,1,0,3200,154,4096,387,0.03,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,3,0,3200,156,4096,368,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,2,0,3328,155,4096,392,0.03,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,3,0,3328,156,4096,368,0.04,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,1,0,3200,154,4096,387,0.03,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,4,0,3200,153,4096,370,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,3,0,3200,154,4096,384,0.03,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,5,0,3200,153,4096,370,0.04,0,0,0,0,0.0,0.14,14
0,0,0,0,0,0,0,0,2,0,3328,155,4096,387,0.03,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,8,0,3200,154,4096,382,0.03,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,3,0,3200,154,4096,375,0.04,0,0,0,0,0.0,0.14,12
0,0,0,0,0,0,0,0,2,0,3328,154,4096,377,0.04,0,0,0,0,0.0,0.14,14
0,0,0,0,0,0,0,0,1,0,3328,154,4096,377,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,2,0,3200,154,4096,377,0.04,0,0,0,0,0.0,0.14,17
0,0,0,0,0,0,0,0,1,0,3328,155,4096,373,0.04,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,4,0,3200,153,4096,373,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,3,0,3328,154,4096,384,0.03,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,5,0,3200,153,4096,368,0.04,0,0,0,0,0.0,0.14,15
0,0,0,0,0,0,0,0,6,0,3200,152,4096,387,0.03,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,5,0,3200,155,4096,377,0.04,0,0,0,0,0.0,0.15,12
0,0,0,0,0,0,0,0,3,0,3328,153,4096,382,0.04,0,0,0,0,0.0,0.14,11
0,0,0,0,0,0,0,0,2,0,3328,153,4096,355,0.04,0,0,0,0,0.0,0.16,10
0,0,0,0,0,0,0,0,1,0,3328,154,4096,375,0.04,0,0,0,0,0.0,0.15,14
0,0,0,0,0,0,0,0,3,0,3200,154,4096,370,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,5,0,3328,155,4096,364,0.04,0,0,0,0,0.0,0.14,8
0,0,0,0,0,0,0,0,2,0,3200,152,4096,355,0.04,0,0,0,0,0.0,0.16,8
0,0,0,0,0,0,0,0,4,0,3200,154,4096,369,0.04,0,0,0,0,0.0,0.15,9
0,0,0,0,0,0,0,0,2,0,3200,151,4096,377,0.04,0,0,0,0,0.0,0.14,9
0,0,0,0,0,0,0,0,1,0,3200,153,4096,375,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,3,0,3200,151,4096,382,0.03,0,0,0,0,0.0,0.14,7
0,0,0,0,0,0,0,0,2,0,3328,153,4096,375,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,4,0,3328,155,4096,368,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,3,0,3328,155,4096,371,0.04,0,0,0,0,0.0,0.15,11
0,0,0,0,0,0,0,0,7,0,3328,153,4096,380,0.04,0,0,0,0,0.0,0.14,10
0,0,0,0,0,0,0,0,1,0,3328,154,4096,373,0.04,0,0,0,0,0.0,0.14,20
